elapsed_s,cpu_user_pct,cpu_system_pct,cpu_total_pct,rss_mb,words_total,speaking_duration_s,avg_wpm,rms_avg,thermal_state,marker
1560.0,0.00,0.00,0.00,24.1,22108,1559.2,778.7,0.013629,0,
1570.0,0.00,0.00,0.00,24.5,22479,1566.8,545.1,0.015012,0,
1580.0,0.00,0.00,0.00,24.6,23264,1578.4,430.8,0.013330,0,
1590.0,0.00,0.00,0.00,24.6,23461,1589.9,347.6,0.014715,0,
1600.0,8.82,1.35,10.17,25.1,23559,1597.6,333.8,0.015803,0,
1610.0,0.00,0.00,0.00,25.1,24126,1609.3,285.1,0.016379,0,
1620.0,0.00,0.00,0.00,25.1,24530,1616.8,199.6,0.013437,0,
1630.0,0.00,0.00,0.00,26.5,24815,1628.3,139.7,0.014824,0,
1640.0,0.00,0.00,0.00,26.7,25338,1639.8,332.3,0.015467,0,
1650.0,0.00,0.00,0.00,27.8,25589,1647.5,464.5,0.015803,0,
1660.0,0.00,0.00,0.00,27.5,26177,1659.1,643.8,0.014216,0,
1670.0,0.00,0.00,0.00,27.7,26431,1666.8,620.1,0.014255,0,
1680.0,0.00,0.00,0.00,24.2,27094,1678.4,993.6,0.015003,0,
1690.0,0.00,0.00,0.00,24.9,27568,1689.8,795.0,0.015345,0,
1700.0,0.00,0.00,0.00,25.0,27826,1697.4,556.5,0.015914,0,
1710.0,0.00,0.00,0.00,25.7,28489,1708.9,448.8,0.015524,0,
1720.0,0.00,0.00,0.00,25.8,28702,1716.6,644.0,0.015536,0,
1730.0,0.00,0.00,0.00,25.9,29817,1728.1,450.8,0.015542,0,
1740.0,0.00,0.00,0.00,25.8,31605,1739.6,315.5,0.015263,0,
1750.0,0.00,0.00,0.00,25.7,31876,1747.3,220.9,0.013211,0,
1760.0,0.00,0.00,0.00,25.2,32719,1759.0,238.0,0.012087,0,
1770.0,0.00,0.00,0.00,25.6,33046,1766.6,166.6,0.012562,0,
1780.0,0.00,0.00,0.00,25.9,33798,1778.0,198.0,0.014108,0,
1790.0,47.45,8.16,55.61,25.9,34193,1789.6,138.6,0.014512,0,
1800.0,13.39,2.45,15.84,26.0,34570,1797.2,97.0,0.013886,0,
1810.0,1.23,0.24,1.47,26.1,34895,1808.8,67.9,0.013760,0,
1820.0,0.00,0.00,0.00,26.1,35046,1816.4,47.5,0.014080,0,
1830.0,0.00,0.00,0.00,26.2,35390,1828.1,227.3,0.016726,0,
1840.0,0.00,0.00,0.00,26.0,35876,1839.5,159.1,0.015296,0,
1850.0,0.00,0.00,0.00,26.3,36315,1847.3,199.8,0.015109,0,
1860.0,34.23,5.85,40.08,25.5,36586,1858.7,139.9,0.015190,0,
1870.0,0.00,0.00,0.00,25.3,36748,1866.5,156.4,0.014803,0,
1880.0,2.97,0.56,3.53,25.7,37048,1877.9,109.5,0.014226,0,
1890.0,0.00,0.00,0.00,25.8,37395,1889.4,611.0,0.014754,0,
1900.0,0.00,0.00,0.00,26.0,38590,1897.1,427.7,0.017770,0,
1910.0,0.00,0.00,0.00,26.7,39384,1908.7,573.0,0.013721,0,
1920.0,0.00,0.00,0.00,26.6,40490,1916.3,401.1,0.015215,0,
1930.0,0.00,0.00,0.00,26.5,41904,1927.8,328.6,0.014499,0,
1940.0,0.00,0.00,0.00,26.7,42404,1939.4,283.7,0.012774,0,
1950.0,4.63,0.85,5.48,26.7,42679,1947.1,216.1,0.013233,0,
1960.0,0.00,0.00,0.00,26.7,42890,1954.8,151.3,0.011734,0,
1970.0,26.43,4.70,31.13,26.7,42913,1966.2,105.9,0.012939,0,
1980.0,0.00,0.00,0.00,26.8,43288,1977.8,121.9,0.014649,0,
1990.0,0.00,0.00,0.00,26.8,43465,1989.2,276.4,0.015667,0,
2000.0,0.00,0.00,0.00,26.9,44240,1996.9,193.5,0.014889,0,
2010.0,0.00,0.00,0.00,27.0,44632,2008.4,135.4,0.015428,0,
2020.0,6.15,1.14,7.29,27.0,45537,2016.1,94.8,0.016193,0,
2030.0,0.00,0.00,0.00,27.3,48192,2028.1,717.8,0.015746,0,
2040.0,0.00,0.00,0.00,27.4,48591,2039.4,696.6,0.017115,0,
2050.0,0.00,0.00,0.00,27.4,48957,2046.9,668.4,0.015793,0,
2060.0,0.00,0.00,0.00,30.6,49567,2058.4,467.9,0.016079,0,
2070.0,0.00,0.00,0.00,30.7,50193,2069.9,327.5,0.015958,0,
2080.0,0.00,0.00,0.00,30.4,50378,2077.7,534.8,0.016301,0,
2090.0,21.68,4.20,25.88,30.4,51112,2089.2,520.0,0.014823,0,
2100.0,0.00,0.00,0.00,30.5,51244,2096.9,445.2,0.016927,0,
